primary_key,date,Position,Track Name,Artist,Streams,URL,ID,acousticness,analysis_url,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,uri,valence
2rPE9A1vEgShuZxxzR2tZH_2018-12-01,2018-12-01,1,"thank u, next",Ariana Grande,6950362,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2rPE9A1vEgShuZxxzR2tZH,0.28,https://api.spotify.com/v1/audio-analysis/2rPE9A1vEgShuZxxzR2tZH,0.724,207333.0,0.647,0.0,1.0,0.102,-5.642,1.0,0.0658,106.96,4.0,https://api.spotify.com/v1/tracks/2rPE9A1vEgShuZxxzR2tZH,spotify:track:2rPE9A1vEgShuZxxzR2tZH,0.435
4w8niZpiMy6qz1mntFA5uM_2018-12-01,2018-12-01,2,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,4544598,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,4w8niZpiMy6qz1mntFA5uM,0.153,https://api.spotify.com/v1/audio-analysis/4w8niZpiMy6qz1mntFA5uM,0.841,212500.0,0.798,3.33e-06,1.0,0.0618,-4.206,0.0,0.229,95.948,4.0,https://api.spotify.com/v1/tracks/4w8niZpiMy6qz1mntFA5uM,spotify:track:4w8niZpiMy6qz1mntFA5uM,0.591
0bYg9bo50gSsH3LtXe2SQn_2018-12-01,2018-12-01,3,All I Want for Christmas Is You,Mariah Carey,4258617,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,0bYg9bo50gSsH3LtXe2SQn,0.164,https://api.spotify.com/v1/audio-analysis/0bYg9bo50gSsH3LtXe2SQn,0.335,241107.0,0.625,0.0,7.0,0.0708,-7.462,1.0,0.0386,150.277,4.0,https://api.spotify.com/v1/tracks/0bYg9bo50gSsH3LtXe2SQn,spotify:track:0bYg9bo50gSsH3LtXe2SQn,0.346
116H0KvKr2Zl4RPuVBruDO_2018-12-01,2018-12-01,4,MIA (feat. Drake),Bad Bunny,3460946,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,116H0KvKr2Zl4RPuVBruDO,0.0141,https://api.spotify.com/v1/audio-analysis/116H0KvKr2Zl4RPuVBruDO,0.817,210368.0,0.539,0.000496,6.0,0.099,-6.349,0.0,0.0621,97.062,4.0,https://api.spotify.com/v1/tracks/116H0KvKr2Zl4RPuVBruDO,spotify:track:116H0KvKr2Zl4RPuVBruDO,0.158
5p7ujcrUXASCNwRaWNHR1C_2018-12-01,2018-12-01,5,Without Me,Halsey,3000474,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,5p7ujcrUXASCNwRaWNHR1C,0.297,https://api.spotify.com/v1/audio-analysis/5p7ujcrUXASCNwRaWNHR1C,0.752,201661.0,0.488,9.11e-06,6.0,0.0936,-7.05,1.0,0.0705,136.041,4.0,https://api.spotify.com/v1/tracks/5p7ujcrUXASCNwRaWNHR1C,spotify:track:5p7ujcrUXASCNwRaWNHR1C,0.533
2dpaYNEQHiRxtZbfNsse99_2018-12-01,2018-12-01,6,Happier,Marshmello,2896796,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2dpaYNEQHiRxtZbfNsse99,0.191,https://api.spotify.com/v1/audio-analysis/2dpaYNEQHiRxtZbfNsse99,0.687,214290.0,0.792,0.0,5.0,0.167,-2.749,1.0,0.0452,100.015,4.0,https://api.spotify.com/v1/tracks/2dpaYNEQHiRxtZbfNsse99,spotify:track:2dpaYNEQHiRxtZbfNsse99,0.671
0lizgQ7Qw35od7CYaoMBZb_2018-12-01,2018-12-01,7,Santa Tell Me,Ariana Grande,2860921,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb,0lizgQ7Qw35od7CYaoMBZb,0.0545,https://api.spotify.com/v1/audio-analysis/0lizgQ7Qw35od7CYaoMBZb,0.506,204093.0,0.628,0.0,7.0,0.301,-7.316,1.0,0.173,191.708,4.0,https://api.spotify.com/v1/tracks/0lizgQ7Qw35od7CYaoMBZb,spotify:track:0lizgQ7Qw35od7CYaoMBZb,0.556
2FRnf9qhLbvw8fu4IBXx78_2018-12-01,2018-12-01,8,Last Christmas,Wham!,2808243,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78,2FRnf9qhLbvw8fu4IBXx78,0.189,https://api.spotify.com/v1/audio-analysis/2FRnf9qhLbvw8fu4IBXx78,0.735,262960.0,0.478,2.48e-06,2.0,0.355,-12.472,1.0,0.0293,107.682,4.0,https://api.spotify.com/v1/tracks/2FRnf9qhLbvw8fu4IBXx78,spotify:track:2FRnf9qhLbvw8fu4IBXx78,0.947
7l3E7lcozEodtVsSTCkcaA_2018-12-01,2018-12-01,9,ZEZE (feat. Travis Scott & Offset),Kodak Black,2743038,https://open.spotify.com/track/7l3E7lcozEodtVsSTCkcaA,7l3E7lcozEodtVsSTCkcaA,0.0515,https://api.spotify.com/v1/audio-analysis/7l3E7lcozEodtVsSTCkcaA,0.861,228654.0,0.637,3.35e-06,8.0,0.0967,-5.692,0.0,0.24,98.044,4.0,https://api.spotify.com/v1/tracks/7l3E7lcozEodtVsSTCkcaA,spotify:track:7l3E7lcozEodtVsSTCkcaA,0.474
2xLMifQCjDGFmkHkpNLD9h_2018-12-01,2018-12-01,10,SICKO MODE,Travis Scott,2731357,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,2xLMifQCjDGFmkHkpNLD9h,0.00513,https://api.spotify.com/v1/audio-analysis/2xLMifQCjDGFmkHkpNLD9h,0.834,312820.0,0.73,0.0,8.0,0.124,-3.714,1.0,0.222,155.008,4.0,https://api.spotify.com/v1/tracks/2xLMifQCjDGFmkHkpNLD9h,spotify:track:2xLMifQCjDGFmkHkpNLD9h,0.446
6Gy7rXB6Ku5vIWC7WGWsl3_2018-12-01,2018-12-01,11,KIKA (feat. Tory Lanez),6ix9ine,2718884,https://open.spotify.com/track/6Gy7rXB6Ku5vIWC7WGWsl3,6Gy7rXB6Ku5vIWC7WGWsl3,0.128,https://api.spotify.com/v1/audio-analysis/6Gy7rXB6Ku5vIWC7WGWsl3,0.745,136032.0,0.715,0.0,1.0,0.182,-3.368,0.0,0.245,94.513,4.0,https://api.spotify.com/v1/tracks/6Gy7rXB6Ku5vIWC7WGWsl3,spotify:track:6Gy7rXB6Ku5vIWC7WGWsl3,0.342
4m5Cd9kAbIxg6t9sMrQWtk_2018-12-01,2018-12-01,12,TIC TOC (feat. Lil Baby),6ix9ine,2691783,https://open.spotify.com/track/4m5Cd9kAbIxg6t9sMrQWtk,4m5Cd9kAbIxg6t9sMrQWtk,0.0115,https://api.spotify.com/v1/audio-analysis/4m5Cd9kAbIxg6t9sMrQWtk,0.82,135739.0,0.691,0.0,6.0,0.344,-6.646,0.0,0.0723,142.027,4.0,https://api.spotify.com/v1/tracks/4m5Cd9kAbIxg6t9sMrQWtk,spotify:track:4m5Cd9kAbIxg6t9sMrQWtk,0.683
1A6OTy97kk0mMdm78rHsm8_2018-12-01,2018-12-01,13,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,2555875,https://open.spotify.com/track/1A6OTy97kk0mMdm78rHsm8,1A6OTy97kk0mMdm78rHsm8,0.551,https://api.spotify.com/v1/audio-analysis/1A6OTy97kk0mMdm78rHsm8,0.753,158053.0,0.498,0.0,2.0,0.0706,-5.61,1.0,0.0504,89.95,4.0,https://api.spotify.com/v1/tracks/1A6OTy97kk0mMdm78rHsm8,spotify:track:1A6OTy97kk0mMdm78rHsm8,0.927
